,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
21505,31,technician,married,tertiary,no,6562,yes,no,cellular,19,aug,118,2,-1,0,unknown,no
36114,32,technician,married,secondary,no,367,yes,no,cellular,11,may,214,2,276,3,failure,no
4153,46,blue-collar,single,primary,no,2851,yes,no,unknown,19,may,122,2,-1,0,unknown,no
9440,52,self-employed,married,secondary,no,9,no,yes,unknown,6,jun,44,1,-1,0,unknown,no
36284,51,blue-collar,married,primary,no,581,yes,no,cellular,11,may,282,1,-1,0,unknown,no
5022,31,management,married,tertiary,no,1755,yes,no,unknown,21,may,588,2,-1,0,unknown,no
9496,25,admin.,single,secondary,no,0,yes,no,unknown,6,jun,172,2,-1,0,unknown,no
375,49,blue-collar,single,secondary,no,143,yes,no,unknown,6,may,83,1,-1,0,unknown,no
44374,55,technician,married,unknown,no,240,yes,no,cellular,2,aug,108,3,277,1,success,yes
2261,46,entrepreneur,married,tertiary,no,-43,no,no,unknown,12,may,138,8,-1,0,unknown,no
30497,36,technician,married,secondary,no,696,yes,no,cellular,5,feb,590,5,-1,0,unknown,no
39661,56,management,divorced,unknown,no,854,no,no,cellular,27,may,121,1,-1,0,unknown,no
15197,27,entrepreneur,single,secondary,no,2,yes,no,cellular,17,jul,25,1,-1,0,unknown,no
27173,50,admin.,married,secondary,no,231,yes,no,cellular,21,nov,397,2,-1,0,unknown,no
40877,40,admin.,married,secondary,no,3138,no,no,cellular,12,aug,238,1,-1,0,unknown,no
43118,48,unemployed,married,tertiary,no,1571,yes,no,cellular,24,feb,104,3,-1,0,unknown,no
16170,46,blue-collar,married,secondary,no,209,yes,no,cellular,22,jul,126,4,-1,0,unknown,no
24835,42,entrepreneur,married,tertiary,no,257,no,yes,cellular,18,nov,340,2,-1,0,unknown,no
27889,42,housemaid,single,secondary,no,578,no,no,telephone,28,jan,44,1,-1,0,unknown,no
40717,32,management,single,tertiary,no,697,no,no,cellular,7,aug,119,1,99,3,failure,no
42766,48,management,married,tertiary,no,157,no,no,cellular,28,jan,417,4,-1,0,unknown,yes
32738,33,admin.,married,primary,no,499,no,no,cellular,17,apr,95,3,-1,0,unknown,no
36588,33,entrepreneur,married,tertiary,no,12,yes,no,cellular,12,may,137,1,-1,0,unknown,no
39223,23,student,single,secondary,no,2530,yes,no,cellular,18,may,194,3,364,3,other,no
30545,35,blue-collar,single,secondary,no,0,yes,no,cellular,5,feb,155,3,254,1,other,no
21316,60,retired,married,secondary,no,8121,yes,yes,cellular,18,aug,98,7,-1,0,unknown,no
8128,61,retired,married,primary,no,-156,yes,yes,unknown,2,jun,283,5,-1,0,unknown,no
3173,44,blue-collar,married,primary,no,3407,yes,no,unknown,15,may,179,2,-1,0,unknown,no
18980,35,technician,single,tertiary,no,354,yes,no,cellular,4,aug,146,3,-1,0,unknown,no
13539,46,technician,married,secondary,yes,4,no,yes,cellular,9,jul,78,1,-1,0,unknown,no
9651,35,blue-collar,single,primary,no,3339,yes,no,unknown,6,jun,304,2,-1,0,unknown,no
2892,53,management,married,tertiary,no,4446,yes,no,unknown,14,may,429,1,-1,0,unknown,no
27695,36,management,married,tertiary,no,0,yes,no,cellular,21,nov,72,3,29,4,success,no
27574,46,services,divorced,secondary,no,4329,no,no,cellular,21,nov,534,2,-1,0,unknown,yes
21436,33,self-employed,married,secondary,no,173,no,no,cellular,18,aug,26,5,-1,0,unknown,no
33380,50,blue-collar,divorced,secondary,no,-1,yes,no,telephone,20,apr,151,1,-1,0,unknown,no
4558,35,management,single,secondary,no,5260,yes,no,unknown,20,may,211,2,-1,0,unknown,no
2724,57,blue-collar,married,primary,no,1352,yes,no,unknown,13,may,104,2,-1,0,unknown,no
25861,32,self-employed,single,tertiary,no,444,no,no,cellular,19,nov,101,1,-1,0,unknown,no
21988,47,services,married,secondary,no,439,yes,no,cellular,20,aug,156,12,-1,0,unknown,no
19377,46,blue-collar,married,primary,no,874,no,no,cellular,6,aug,996,1,-1,0,unknown,yes
5921,23,management,married,tertiary,no,175,yes,no,unknown,26,may,796,1,-1,0,unknown,no
17926,58,management,divorced,secondary,no,3161,no,no,telephone,30,jul,542,2,-1,0,unknown,yes
22673,35,technician,single,tertiary,no,275,yes,no,cellular,25,aug,63,5,-1,0,unknown,no
1567,32,blue-collar,married,secondary,no,20,yes,yes,unknown,8,may,117,3,-1,0,unknown,no
28574,45,technician,single,secondary,no,-55,no,no,cellular,29,jan,78,3,197,1,failure,no
31695,53,blue-collar,divorced,secondary,no,1912,yes,yes,cellular,7,apr,210,1,253,2,failure,no
35964,36,technician,married,secondary,no,23,yes,no,cellular,8,may,152,2,347,1,failure,no
41103,57,management,married,secondary,no,139,no,no,cellular,17,aug,80,1,-1,0,unknown,no
41575,40,admin.,married,secondary,no,4775,no,no,cellular,15,sep,215,1,-1,0,unknown,yes
29226,28,student,single,secondary,no,689,no,no,cellular,2,feb,36,1,-1,0,unknown,no
1563,41,services,married,secondary,no,639,yes,no,unknown,8,may,1187,2,-1,0,unknown,no
31731,24,admin.,single,secondary,no,5,no,no,cellular,7,apr,66,1,330,1,failure,no
36963,44,blue-collar,married,secondary,no,199,yes,no,cellular,12,may,150,7,-1,0,unknown,no
22476,50,management,single,tertiary,no,0,no,no,cellular,22,aug,128,4,-1,0,unknown,no
8503,59,management,married,tertiary,no,202,yes,no,unknown,3,jun,128,6,-1,0,unknown,no
31732,49,entrepreneur,divorced,tertiary,no,1342,yes,yes,cellular,7,apr,253,1,140,1,failure,no
12788,53,blue-collar,married,primary,no,0,no,no,cellular,7,jul,114,1,-1,0,unknown,no
26600,31,self-employed,single,tertiary,no,8460,no,no,cellular,20,nov,68,1,-1,0,unknown,no
2432,25,blue-collar,single,secondary,no,-250,yes,no,unknown,13,may,456,1,-1,0,unknown,no
10375,56,self-employed,married,secondary,no,1113,no,no,unknown,12,jun,138,1,-1,0,unknown,no
35970,51,blue-collar,married,secondary,no,1022,yes,no,cellular,8,may,311,3,-1,0,unknown,no
11886,30,admin.,married,secondary,no,685,yes,no,unknown,20,jun,25,3,-1,0,unknown,no
15741,31,entrepreneur,single,secondary,no,131,yes,no,cellular,21,jul,157,1,-1,0,unknown,no
30603,52,unemployed,married,tertiary,no,0,no,no,telephone,6,feb,43,4,-1,0,unknown,no
34336,30,management,single,tertiary,no,533,no,no,cellular,4,may,365,4,-1,0,unknown,yes
22920,42,management,married,tertiary,no,295,yes,no,cellular,26,aug,109,3,-1,0,unknown,no
24836,53,technician,divorced,secondary,no,4856,yes,no,cellular,18,nov,151,1,-1,0,unknown,no
38888,24,services,single,secondary,no,258,yes,no,cellular,18,may,248,1,-1,0,unknown,no
3157,52,management,married,tertiary,no,601,yes,no,unknown,14,may,249,2,-1,0,unknown,no
37296,41,admin.,married,secondary,no,158,yes,no,cellular,13,may,426,1,50,2,failure,no
38162,51,management,married,tertiary,no,0,yes,no,cellular,15,may,60,1,343,7,failure,no
43504,55,unemployed,divorced,secondary,no,309,no,no,cellular,20,apr,167,1,181,3,success,yes
16381,26,management,single,tertiary,no,33,no,no,cellular,23,jul,297,1,-1,0,unknown,no
27298,35,student,divorced,tertiary,no,100,no,no,cellular,21,nov,50,1,-1,0,unknown,no
33485,34,blue-collar,single,secondary,no,375,yes,no,cellular,20,apr,55,1,-1,0,unknown,no
2317,22,housemaid,single,secondary,no,650,yes,no,unknown,12,may,181,4,-1,0,unknown,no
16966,29,blue-collar,married,primary,no,410,no,yes,telephone,25,jul,297,2,-1,0,unknown,no
37850,54,retired,divorced,tertiary,no,2682,yes,no,cellular,14,may,334,1,-1,0,unknown,no
38185,32,services,married,secondary,no,1398,yes,yes,cellular,15,may,233,1,-1,0,unknown,no
29041,30,management,married,secondary,no,503,yes,no,cellular,2,feb,96,1,-1,0,unknown,no
30741,27,management,single,secondary,no,116,yes,no,cellular,6,feb,138,2,-1,0,unknown,no
39193,23,blue-collar,single,secondary,no,668,yes,no,cellular,18,may,857,3,-1,0,unknown,no
12963,49,self-employed,single,secondary,no,766,yes,no,cellular,7,jul,150,4,-1,0,unknown,no
9770,39,management,married,tertiary,no,2810,no,no,unknown,9,jun,77,1,-1,0,unknown,no
40628,47,management,married,tertiary,no,699,no,no,cellular,5,aug,432,3,97,2,success,no
27902,52,technician,married,unknown,no,370,yes,no,cellular,28,jan,144,1,197,2,failure,no
24011,46,unemployed,married,secondary,no,46,no,no,telephone,29,aug,74,2,-1,0,unknown,no
25798,32,technician,married,tertiary,no,432,yes,no,cellular,19,nov,164,2,195,1,other,no
2616,42,blue-collar,divorced,primary,no,299,yes,no,unknown,13,may,253,2,-1,0,unknown,no
9541,38,self-employed,divorced,secondary,no,0,no,no,unknown,6,jun,261,2,-1,0,unknown,no
39287,27,technician,married,tertiary,no,176,yes,no,cellular,18,may,10,2,350,7,other,no
12978,48,self-employed,married,secondary,no,252,no,no,cellular,7,jul,261,5,-1,0,unknown,no
14271,59,retired,single,secondary,yes,-341,no,yes,cellular,14,jul,94,3,-1,0,unknown,no
17547,58,services,married,secondary,no,0,no,no,telephone,29,jul,50,2,-1,0,unknown,no
9269,58,blue-collar,married,secondary,no,266,yes,no,unknown,5,jun,319,6,-1,0,unknown,no
39035,43,services,married,secondary,no,43,yes,no,cellular,18,may,199,1,-1,0,unknown,no
42541,30,unemployed,divorced,secondary,no,7105,no,no,cellular,22,dec,321,2,-1,0,unknown,yes
21919,36,technician,married,secondary,no,3,no,no,cellular,20,aug,100,4,-1,0,unknown,no
20204,34,technician,divorced,secondary,no,259,no,no,cellular,11,aug,316,2,-1,0,unknown,no
37263,29,admin.,married,secondary,no,69,yes,no,cellular,13,may,77,4,-1,0,unknown,no
32228,29,blue-collar,single,secondary,no,2553,yes,no,cellular,16,apr,250,1,-1,0,unknown,no
39763,25,technician,single,secondary,no,1199,no,no,cellular,1,jun,287,1,-1,0,unknown,yes
2203,36,technician,single,secondary,no,-475,yes,no,unknown,12,may,793,5,-1,0,unknown,no
26270,47,self-employed,married,secondary,no,4420,yes,yes,cellular,20,nov,454,1,-1,0,unknown,yes
41589,31,management,single,tertiary,no,3384,no,no,cellular,16,sep,153,1,104,2,success,yes
28848,28,blue-collar,single,secondary,no,1285,no,no,telephone,30,jan,199,2,2,17,other,no
38607,39,services,married,secondary,no,435,yes,no,cellular,15,may,411,6,175,3,other,no
44729,34,management,divorced,tertiary,no,2240,no,no,cellular,8,sep,220,2,184,3,success,yes
28110,29,unemployed,single,unknown,no,67,no,no,cellular,28,jan,330,2,-1,0,unknown,no
29492,31,unemployed,single,tertiary,no,1489,yes,no,cellular,3,feb,678,1,-1,0,unknown,no
13203,46,blue-collar,divorced,primary,no,2775,no,yes,cellular,8,jul,188,1,-1,0,unknown,no
12464,60,retired,married,primary,no,0,no,no,unknown,1,jul,36,1,-1,0,unknown,no
37873,29,blue-collar,married,secondary,no,7863,yes,no,cellular,14,may,1129,1,-1,0,unknown,yes
7220,51,technician,married,secondary,no,2402,yes,no,unknown,29,may,118,1,-1,0,unknown,no
25252,32,housemaid,married,tertiary,no,357,yes,no,cellular,18,nov,175,2,-1,0,unknown,no
1212,36,blue-collar,single,primary,no,49,yes,no,unknown,8,may,405,1,-1,0,unknown,no
24779,41,admin.,married,secondary,no,4320,yes,no,cellular,18,nov,164,1,166,2,failure,no
24528,43,blue-collar,divorced,secondary,no,-259,no,no,cellular,17,nov,732,1,171,2,other,no
22216,60,services,married,secondary,no,1446,no,no,cellular,21,aug,283,6,-1,0,unknown,no
32746,43,blue-collar,divorced,secondary,no,-447,yes,no,cellular,17,apr,85,1,-1,0,unknown,no
25497,52,management,married,tertiary,no,488,yes,no,cellular,19,nov,60,3,-1,0,unknown,no
29269,26,blue-collar,single,secondary,no,494,no,no,cellular,2,feb,237,1,-1,0,unknown,no
39438,35,admin.,single,secondary,no,1810,yes,no,cellular,25,may,65,2,-1,0,unknown,no
24578,37,admin.,married,tertiary,no,0,yes,no,cellular,17,nov,65,2,119,1,failure,no
23346,41,management,married,tertiary,yes,852,yes,yes,cellular,27,aug,157,10,-1,0,unknown,no
17235,57,retired,married,primary,no,592,no,yes,cellular,28,jul,87,5,-1,0,unknown,no
31183,73,retired,married,tertiary,no,1641,yes,no,cellular,27,feb,49,2,-1,0,unknown,yes
2001,36,blue-collar,married,primary,no,95,yes,no,unknown,9,may,255,2,-1,0,unknown,no
25573,39,technician,married,secondary,no,3494,yes,no,cellular,19,nov,139,1,92,4,failure,no
44143,72,admin.,married,primary,no,2321,no,no,cellular,12,jul,200,6,122,6,other,no
44250,24,student,single,secondary,no,1234,no,no,cellular,21,jul,314,1,156,2,success,yes
27356,47,self-employed,married,secondary,no,318,no,no,cellular,21,nov,83,1,-1,0,unknown,no
4878,34,management,single,tertiary,no,0,yes,no,unknown,21,may,759,1,-1,0,unknown,no
40006,28,technician,single,tertiary,no,3623,no,no,cellular,3,jun,138,2,85,1,success,no
2879,40,blue-collar,married,unknown,no,874,no,no,unknown,14,may,75,1,-1,0,unknown,no
4292,37,technician,married,secondary,no,1633,yes,no,unknown,19,may,229,3,-1,0,unknown,no
23901,41,management,single,tertiary,no,2408,no,no,cellular,29,aug,122,2,-1,0,unknown,no
9734,36,blue-collar,married,unknown,no,3783,no,no,unknown,9,jun,113,1,-1,0,unknown,no
34649,45,management,married,tertiary,no,7620,yes,no,cellular,5,may,85,8,-1,0,unknown,no
31193,28,technician,single,secondary,no,1363,no,no,cellular,27,feb,79,1,-1,0,unknown,yes
24668,40,admin.,married,secondary,no,1565,yes,yes,cellular,17,nov,288,2,-1,0,unknown,no
10995,56,blue-collar,married,secondary,no,2409,no,no,unknown,17,jun,173,2,-1,0,unknown,no
38308,38,blue-collar,single,primary,no,1583,yes,no,cellular,15,may,386,1,-1,0,unknown,no
33441,48,admin.,married,secondary,no,1060,yes,no,cellular,20,apr,87,2,318,3,failure,no
29550,28,technician,single,secondary,no,122,no,no,cellular,3,feb,155,4,-1,0,unknown,no
36136,32,blue-collar,married,primary,no,-94,yes,yes,cellular,11,may,308,1,-1,0,unknown,no
20230,31,technician,single,tertiary,no,3194,no,no,cellular,11,aug,140,2,-1,0,unknown,no
15248,30,blue-collar,married,primary,no,-199,yes,yes,telephone,17,jul,207,10,-1,0,unknown,no
9746,37,unemployed,single,primary,no,1241,no,no,unknown,9,jun,60,2,-1,0,unknown,no
41379,62,retired,married,secondary,no,816,no,no,cellular,1,sep,28,2,-1,0,unknown,no
43939,38,blue-collar,married,primary,no,1630,yes,no,cellular,17,jun,101,3,94,19,other,no
39633,56,services,divorced,primary,no,23,no,no,telephone,26,may,108,4,-1,0,unknown,no
11949,53,blue-collar,married,secondary,no,-214,yes,no,unknown,20,jun,49,4,-1,0,unknown,no
29913,32,management,married,tertiary,no,322,no,no,cellular,4,feb,101,1,-1,0,unknown,no
17811,47,entrepreneur,divorced,secondary,no,2,yes,yes,cellular,29,jul,104,4,-1,0,unknown,no
7446,48,admin.,married,tertiary,no,960,yes,no,unknown,29,may,286,3,-1,0,unknown,no
20901,41,technician,single,tertiary,no,5389,no,no,cellular,13,aug,209,5,-1,0,unknown,no
4269,31,services,single,secondary,no,1629,yes,no,unknown,19,may,344,2,-1,0,unknown,no
20069,34,housemaid,married,primary,no,326,no,no,cellular,8,aug,17,7,-1,0,unknown,no
10053,41,admin.,single,secondary,no,812,no,yes,unknown,11,jun,583,4,-1,0,unknown,yes
39932,58,technician,married,tertiary,no,12322,no,no,telephone,2,jun,306,2,-1,0,unknown,no
14231,29,services,married,secondary,no,10,yes,no,cellular,14,jul,246,2,-1,0,unknown,no
10170,36,blue-collar,married,secondary,no,717,no,no,unknown,11,jun,63,1,-1,0,unknown,no
17254,50,blue-collar,married,secondary,no,724,no,no,cellular,28,jul,139,2,-1,0,unknown,no
26101,37,housemaid,divorced,secondary,no,226,no,yes,cellular,19,nov,380,2,167,3,other,no
10151,37,blue-collar,single,primary,no,914,no,no,unknown,11,jun,72,1,-1,0,unknown,no
43276,75,retired,married,primary,no,1765,no,no,telephone,11,mar,282,2,181,2,success,no
5396,43,unemployed,married,primary,no,240,yes,no,unknown,23,may,83,2,-1,0,unknown,no
31101,74,retired,married,secondary,no,1714,no,no,telephone,17,feb,127,1,-1,0,unknown,yes
34439,27,services,single,secondary,no,-72,yes,no,cellular,5,may,276,1,309,9,failure,no
22494,30,management,married,tertiary,no,696,no,no,cellular,22,aug,187,4,-1,0,unknown,no
39572,58,unemployed,married,secondary,no,68,no,no,cellular,26,may,169,2,-1,0,unknown,no
44106,34,services,single,secondary,no,267,no,no,cellular,8,jul,449,2,-1,0,unknown,yes
1686,25,admin.,single,secondary,no,131,yes,yes,unknown,9,may,237,1,-1,0,unknown,no
38389,33,services,married,secondary,no,624,yes,no,cellular,15,may,423,1,-1,0,unknown,no
31424,50,services,married,secondary,no,0,yes,no,cellular,27,mar,689,2,-1,0,unknown,no
23307,38,student,married,secondary,no,134,no,no,cellular,27,aug,91,8,-1,0,unknown,no
40622,68,retired,married,secondary,no,19317,yes,no,cellular,4,aug,249,1,-1,0,unknown,yes
20095,39,management,married,tertiary,no,380,no,no,cellular,11,aug,77,4,-1,0,unknown,no
11468,47,retired,divorced,secondary,no,0,no,no,unknown,19,jun,141,1,-1,0,unknown,no
5367,28,blue-collar,single,secondary,no,56,yes,no,unknown,23,may,66,1,-1,0,unknown,no
42859,78,retired,married,unknown,no,4807,no,no,telephone,3,feb,892,2,104,4,success,yes
8280,40,blue-collar,married,primary,no,2635,yes,no,unknown,2,jun,20,21,-1,0,unknown,no
12095,28,management,single,secondary,no,311,yes,no,unknown,20,jun,23,13,-1,0,unknown,no
25737,53,management,married,tertiary,no,241,yes,no,cellular,19,nov,137,1,-1,0,unknown,no
41359,55,management,married,tertiary,no,2960,yes,no,cellular,31,aug,81,1,98,11,other,no
12215,28,blue-collar,single,secondary,no,-267,yes,no,unknown,20,jun,86,4,-1,0,unknown,no
16818,43,technician,married,secondary,no,34,yes,no,cellular,24,jul,96,3,-1,0,unknown,no
44666,25,technician,single,secondary,no,1298,no,no,cellular,2,sep,206,7,94,2,other,no
18065,36,admin.,single,secondary,no,1328,no,no,cellular,30,jul,69,9,-1,0,unknown,no
11683,56,services,married,secondary,no,1860,yes,no,unknown,20,jun,129,5,-1,0,unknown,no
29182,40,management,married,tertiary,no,543,yes,no,cellular,2,feb,349,2,262,275,other,no
2062,25,blue-collar,single,secondary,no,249,yes,no,unknown,12,may,149,5,-1,0,unknown,no
40326,27,services,single,secondary,no,246,no,no,cellular,17,jun,453,2,-1,0,unknown,yes
31067,27,admin.,single,tertiary,no,4991,yes,no,cellular,13,feb,123,1,-1,0,unknown,no
15685,27,admin.,single,secondary,no,-34,no,yes,cellular,21,jul,171,2,-1,0,unknown,no
1529,27,technician,single,secondary,no,584,yes,no,unknown,8,may,192,2,-1,0,unknown,no
38063,32,admin.,single,secondary,no,45,yes,yes,cellular,14,may,908,3,344,7,other,no
3530,56,services,married,secondary,no,2658,yes,no,unknown,15,may,302,1,-1,0,unknown,no
20304,35,management,married,tertiary,no,569,no,no,cellular,11,aug,121,3,-1,0,unknown,no
11233,56,entrepreneur,married,tertiary,no,773,no,no,unknown,18,jun,345,1,-1,0,unknown,no
9985,41,entrepreneur,single,secondary,no,3216,no,no,unknown,9,jun,718,3,-1,0,unknown,no
13839,48,management,married,tertiary,no,0,yes,no,cellular,10,jul,108,1,-1,0,unknown,no
22287,34,management,married,secondary,no,355,no,no,cellular,21,aug,314,3,-1,0,unknown,no
34253,39,admin.,married,secondary,no,563,yes,no,cellular,4,may,190,3,-1,0,unknown,no
9847,38,blue-collar,married,secondary,no,2423,yes,no,unknown,9,jun,37,1,-1,0,unknown,no
11176,49,blue-collar,married,secondary,no,1743,no,no,unknown,18,jun,68,1,-1,0,unknown,no
248,39,blue-collar,married,secondary,no,483,yes,no,unknown,5,may,282,1,-1,0,unknown,no
27593,45,services,married,secondary,no,133,no,no,cellular,21,nov,358,3,-1,0,unknown,no
36557,42,entrepreneur,divorced,secondary,no,335,yes,no,cellular,12,may,580,1,-1,0,unknown,yes
42464,57,retired,divorced,primary,no,698,no,no,telephone,9,dec,135,3,191,2,failure,no
14433,40,management,married,tertiary,no,0,no,no,cellular,14,jul,109,8,-1,0,unknown,no
13133,39,services,married,secondary,no,87,no,no,cellular,8,jul,114,1,-1,0,unknown,no
22178,48,self-employed,married,secondary,no,91,no,no,cellular,21,aug,136,8,-1,0,unknown,no
3147,46,self-employed,married,secondary,no,0,yes,yes,unknown,14,may,166,5,-1,0,unknown,no
30960,28,services,single,secondary,no,217,yes,no,cellular,9,feb,379,3,-1,0,unknown,no
19592,45,self-employed,married,primary,no,1288,no,no,cellular,7,aug,399,6,-1,0,unknown,no
21747,39,management,married,tertiary,no,218,no,no,cellular,19,aug,97,9,-1,0,unknown,no
36054,34,entrepreneur,married,primary,no,0,yes,no,cellular,11,may,547,1,-1,0,unknown,no
41985,41,unknown,single,unknown,no,942,no,no,cellular,27,oct,143,1,188,1,success,yes
35575,58,entrepreneur,single,tertiary,no,229,yes,no,cellular,7,may,162,7,-1,0,unknown,no
10387,49,admin.,married,secondary,no,2732,no,no,unknown,12,jun,558,1,-1,0,unknown,no
34163,36,admin.,single,secondary,no,728,no,no,cellular,30,apr,230,1,-1,0,unknown,yes
19316,41,management,married,secondary,no,501,no,no,cellular,6,aug,150,4,-1,0,unknown,no
44202,38,admin.,single,secondary,no,4803,no,no,cellular,16,jul,129,2,182,2,success,no
4421,30,management,single,tertiary,no,162,yes,no,unknown,20,may,186,4,-1,0,unknown,no
16632,31,admin.,married,secondary,no,0,yes,no,cellular,24,jul,137,1,-1,0,unknown,no
37984,35,admin.,married,secondary,no,100,yes,no,cellular,14,may,171,4,-1,0,unknown,no
16028,55,entrepreneur,divorced,tertiary,no,1730,no,no,cellular,22,jul,156,3,-1,0,unknown,no
22459,36,management,divorced,tertiary,no,276,yes,no,cellular,22,aug,131,2,-1,0,unknown,no
11246,44,blue-collar,married,secondary,no,-448,yes,no,unknown,18,jun,149,2,-1,0,unknown,no
35555,46,technician,divorced,secondary,no,-154,yes,no,cellular,7,may,215,2,294,1,failure,no
28111,37,management,married,primary,no,4721,no,no,telephone,28,jan,46,1,-1,0,unknown,no
30800,31,admin.,single,secondary,no,690,no,no,cellular,6,feb,92,12,-1,0,unknown,no
37701,50,blue-collar,married,secondary,no,-581,yes,no,cellular,14,may,877,2,345,5,failure,no
33762,30,admin.,single,secondary,no,40,no,no,cellular,22,apr,382,2,-1,0,unknown,no
7214,40,technician,single,primary,no,340,yes,no,unknown,29,may,146,1,-1,0,unknown,no
38467,48,blue-collar,single,primary,no,244,yes,no,cellular,15,may,54,5,-1,0,unknown,no
20316,31,management,married,secondary,no,0,no,no,cellular,11,aug,720,1,-1,0,unknown,yes
27825,36,management,married,tertiary,no,105,no,no,cellular,28,jan,76,1,-1,0,unknown,no
16030,47,management,single,tertiary,no,-295,no,yes,cellular,22,jul,333,2,-1,0,unknown,no
10553,37,admin.,married,primary,no,7208,no,no,unknown,16,jun,117,1,-1,0,unknown,no
13668,51,services,divorced,secondary,no,234,no,no,cellular,9,jul,281,3,-1,0,unknown,no
12602,34,technician,married,secondary,no,173,no,no,unknown,4,jul,31,1,-1,0,unknown,no
18479,44,blue-collar,married,secondary,no,96,yes,no,cellular,31,jul,547,2,-1,0,unknown,no
18454,59,retired,divorced,secondary,no,2651,no,no,telephone,31,jul,258,2,-1,0,unknown,no
39608,51,management,married,tertiary,no,583,no,no,cellular,26,may,109,1,-1,0,unknown,no
36907,59,admin.,married,secondary,no,145,yes,no,telephone,12,may,556,2,287,13,success,yes
17526,56,retired,married,primary,no,21,no,no,cellular,29,jul,324,7,-1,0,unknown,no
9721,47,unemployed,married,secondary,no,2024,no,no,unknown,9,jun,169,1,-1,0,unknown,no
11680,51,admin.,married,secondary,no,37,no,yes,unknown,20,jun,206,2,-1,0,unknown,no
37208,34,management,married,tertiary,no,0,yes,no,cellular,13,may,324,2,-1,0,unknown,no
41714,25,admin.,single,tertiary,no,1185,no,no,cellular,7,oct,290,1,114,1,failure,yes
9256,51,technician,married,primary,no,223,yes,no,unknown,5,jun,131,3,-1,0,unknown,no
3668,40,blue-collar,single,secondary,no,1101,yes,no,unknown,16,may,214,1,-1,0,unknown,no
37686,35,management,single,tertiary,no,-146,yes,no,cellular,14,may,279,1,266,1,failure,no
17959,45,unemployed,married,tertiary,no,579,yes,no,cellular,30,jul,141,2,-1,0,unknown,no
6141,53,technician,married,secondary,no,-725,yes,no,unknown,27,may,1205,1,-1,0,unknown,yes
430,55,admin.,married,secondary,no,131,yes,no,unknown,6,may,744,1,-1,0,unknown,no
11990,45,management,married,secondary,no,625,no,no,unknown,20,jun,13,3,-1,0,unknown,no
